,name,skin_tone,gender,age,real_face,aug_name,aug_cat
1264,TRAIN1264.png,monk_4,female,18_30,1,AUG_monk_4_0_TRAIN1264.png,skin_tone
2170,TRAIN2170.png,monk_4,female,0_17,1,AUG_monk_4_1_TRAIN2170.png,skin_tone
2641,TRAIN2641.png,monk_4,male,31_60,1,AUG_monk_4_2_TRAIN2641.png,skin_tone
4866,TRAIN4866.png,monk_4,female,18_30,1,AUG_monk_4_3_TRAIN4866.png,skin_tone
1106,TRAIN1106.png,monk_4,female,18_30,1,AUG_monk_4_4_TRAIN1106.png,skin_tone
3513,TRAIN3513.png,monk_4,female,18_30,1,AUG_monk_4_5_TRAIN3513.png,skin_tone
156,TRAIN0156.png,monk_4,female,18_30,1,AUG_monk_4_6_TRAIN0156.png,skin_tone
1392,TRAIN1392.png,monk_4,male,18_30,1,AUG_monk_4_7_TRAIN1392.png,skin_tone
2146,TRAIN2146.png,monk_4,female,18_30,1,AUG_monk_4_8_TRAIN2146.png,skin_tone
4068,TRAIN4068.png,monk_4,female,31_60,1,AUG_monk_4_9_TRAIN4068.png,skin_tone
2789,TRAIN2789.png,monk_4,female,31_60,1,AUG_monk_4_10_TRAIN2789.png,skin_tone
3199,TRAIN3199.png,monk_4,female,31_60,1,AUG_monk_4_11_TRAIN3199.png,skin_tone
1004,TRAIN1004.png,monk_5,male,31_60,1,AUG_monk_5_0_TRAIN1004.png,skin_tone
4546,TRAIN4546.png,monk_5,male,18_30,1,AUG_monk_5_1_TRAIN4546.png,skin_tone
1829,TRAIN1829.png,monk_5,female,0_17,1,AUG_monk_5_2_TRAIN1829.png,skin_tone
648,TRAIN0648.png,monk_5,female,18_30,1,AUG_monk_5_3_TRAIN0648.png,skin_tone
990,TRAIN0990.png,monk_5,female,31_60,1,AUG_monk_5_4_TRAIN0990.png,skin_tone
5014,TRAIN5014.png,monk_5,female,18_30,1,AUG_monk_5_5_TRAIN5014.png,skin_tone
857,TRAIN0857.png,monk_5,female,18_30,1,AUG_monk_5_6_TRAIN0857.png,skin_tone
3176,TRAIN3176.png,monk_5,male,31_60,1,AUG_monk_5_7_TRAIN3176.png,skin_tone
1696,TRAIN1696.png,monk_5,female,18_30,1,AUG_monk_5_8_TRAIN1696.png,skin_tone
3557,TRAIN3557.png,monk_5,male,61_100,1,AUG_monk_5_9_TRAIN3557.png,skin_tone
170,TRAIN0170.png,monk_5,female,0_17,1,AUG_monk_5_10_TRAIN0170.png,skin_tone
1809,TRAIN1809.png,monk_5,female,31_60,1,AUG_monk_5_11_TRAIN1809.png,skin_tone
4931,TRAIN4931.png,monk_5,male,0_17,1,AUG_monk_5_12_TRAIN4931.png,skin_tone
848,TRAIN0848.png,monk_5,female,18_30,1,AUG_monk_5_13_TRAIN0848.png,skin_tone
422,TRAIN0422.png,monk_5,male,18_30,1,AUG_monk_5_14_TRAIN0422.png,skin_tone
2662,TRAIN2662.png,monk_5,female,61_100,1,AUG_monk_5_15_TRAIN2662.png,skin_tone
4160,TRAIN4160.png,monk_5,male,31_60,1,AUG_monk_5_16_TRAIN4160.png,skin_tone
4364,TRAIN4364.png,monk_5,female,31_60,1,AUG_monk_5_17_TRAIN4364.png,skin_tone
4589,TRAIN4589.png,monk_5,male,31_60,1,AUG_monk_5_18_TRAIN4589.png,skin_tone
2413,TRAIN2413.png,monk_5,female,18_30,1,AUG_monk_5_19_TRAIN2413.png,skin_tone
205,TRAIN0205.png,monk_5,female,18_30,1,AUG_monk_5_20_TRAIN0205.png,skin_tone
